InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
IF9998,20160301,2898.6,2800.0,2794.0,2864.2,23348.0,19887252660.0,0.0
IF9998,20160302,3017.8,2883.6,2880.0,3009.0,24454.0,21641465160.0,0.0
IF9998,20160303,3034.8,3010.0,2998.2,3008.6,20460.0,18512655840.0,0.0
IF9998,20160304,3069.0,3006.6,2983.0,3052.4,23353.0,21216654120.0,0.0
IF9998,20160307,3135.6,3090.2,3048.0,3083.8,21358.0,19797721800.0,0.0
IF9998,20160308,3080.0,3072.2,2971.0,3075.4,22774.0,20670683760.0,0.0
IF9998,20160309,3042.2,3029.2,2992.0,3016.6,19523.0,17680458420.0,0.0
IF9998,20160310,3060.0,3020.6,2982.0,2983.0,19317.0,17534838900.0,0.0
IF9998,20160311,3012.0,2980.2,2961.0,2986.6,19754.0,17693238840.0,0.0
IF9998,20160314,3108.8,3020.0,3020.0,3042.0,21773.0,20043185400.0,0.0
IF9998,20160315,3060.6,3043.0,3012.0,3046.6,18995.0,17312533740.0,0.0
IF9998,20160316,3096.6,3070.0,3043.0,3062.0,17534.0,16131833700.0,0.0
IF9998,20160317,3160.2,3099.0,3071.0,3123.0,14253.0,13295294820.0,0.0
IF9998,20160318,3196.8,3131.2,3131.2,3176.8,7121.0,6755436000.0,0.0
IF9998,20160321,3244.2,3161.0,3161.0,3210.2,20669.0,19880527800.0,0.0
IF9998,20160322,3220.0,3195.0,3187.4,3194.6,16594.0,15945569460.0,0.0
IF9998,20160323,3223.2,3205.0,3166.0,3196.0,17323.0,16585728180.0,0.0
IF9998,20160324,3185.0,3170.0,3130.2,3144.8,19095.0,18093498720.0,0.0
IF9998,20160325,3178.0,3150.0,3143.4,3162.8,15121.0,14333037960.0,0.0
IF9998,20160328,3216.8,3175.2,3120.0,3129.8,18261.0,17394134400.0,0.0
IF9998,20160329,3149.6,3136.2,3082.2,3104.0,18588.0,17383053060.0,0.0
IF9998,20160330,3197.6,3142.8,3131.0,3190.0,19986.0,18959455860.0,0.0
IF9998,20160331,3208.6,3203.4,3172.8,3191.0,18153.0,17392645020.0,0.0
