InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
JR611,20160401,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160405,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160406,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160407,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160408,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160411,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160412,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160413,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160414,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160415,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160418,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160419,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160420,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160421,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160422,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160425,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160426,2890.0,2890.0,2890.0,2890.0,0.0,0.0,0.0
JR611,20160427,2774.0,2774.0,2774.0,2774.0,0.0,0.0,0.0
JR611,20160428,2774.0,2774.0,2774.0,2774.0,0.0,0.0,0.0
JR611,20160429,2774.0,2774.0,2774.0,2774.0,0.0,0.0,0.0
